id,x_tol_m,x_dot_tol_mps,theta_tol_rad,theta_dot_tol_rps,q_theta_over_x,q_theta_dot_over_x_dot,r_scale,q,r,survival_s,max_cart_m,max_theta_deg,avg_abs_u,score,success
15,0.5,1.0,0.2,1.0,6.249999999999999,1.0,0.7,"[4.0, 1.0, 24.999999999999996, 1.0]",0.06999999999999999,400.0,1.7255666255950928,38.63362121582031,24.48444175720215,397.6300048828125,True
16,0.5,1.0,0.2,1.0,6.249999999999999,1.0,0.9,"[4.0, 1.0, 24.999999999999996, 1.0]",0.09000000000000001,400.0,1.8676087856292725,41.3345832824707,24.616863250732422,397.5010070800781,True
17,0.5,1.0,0.2,1.0,6.249999999999999,1.0,1.1,"[4.0, 1.0, 24.999999999999996, 1.0]",0.11000000000000001,400.0,1.9875787496566772,43.304378509521484,24.837858200073242,397.3949890136719,True
18,0.5,1.0,0.2,1.0,6.249999999999999,1.0,1.3,"[4.0, 1.0, 24.999999999999996, 1.0]",0.13,400.0,2.0935235023498535,44.85996627807617,25.01927375793457,397.30548095703125,True
19,0.5,1.0,0.2,1.0,6.249999999999999,1.0,1.5,"[4.0, 1.0, 24.999999999999996, 1.0]",0.15000000000000002,79.2300033569336,2.188282012939453,46.27553176879883,25.169578552246094,76.45526123046875,False
20,0.5,1.0,0.2,1.0,6.249999999999999,1.0,1.8,"[4.0, 1.0, 24.999999999999996, 1.0]",0.18000000000000002,45.16999816894531,2.3060216903686523,48.14634323120117,25.348892211914062,42.29359436035156,False
21,0.5,1.0,0.2,1.4,6.249999999999999,0.5102040816326532,0.5,"[4.0, 1.0, 24.999999999999996, 0.5102040816326532]",0.05,400.0,1.566177248954773,35.65352249145508,24.813480377197266,397.7594299316406,True
22,0.5,1.0,0.2,1.4,6.249999999999999,0.5102040816326532,0.7,"[4.0, 1.0, 24.999999999999996, 0.5102040816326532]",0.06999999999999999,400.0,1.750405192375183,39.20176696777344,24.613576889038086,397.60235595703125,True
23,0.5,1.0,0.2,1.4,6.249999999999999,0.5102040816326532,0.9,"[4.0, 1.0, 24.999999999999996, 0.5102040816326532]",0.09000000000000001,400.0,1.88844633102417,41.8931999206543,24.686574935913086,397.4773254394531,True
24,0.5,1.0,0.2,1.4,6.249999999999999,0.5102040816326532,1.1,"[4.0, 1.0, 24.999999999999996, 0.5102040816326532]",0.11000000000000001,400.0,2.008901357650757,43.84967041015625,24.906620025634766,397.3713684082031,True
